    road    | grid_intersections | total_intersections | non_grid_intersections 
  935928044 |                  8 |                  24 |                     16
  935935014 |                  1 |                   9 |                      8
  935935015 |                  0 |                   9 |                      9
  936374729 |                  5 |                  14 |                      9
  936374730 |                  8 |                  16 |                      8
  936374741 |                  1 |                  10 |                      9
  936441021 |                  8 |                  20 |                     12
  936441028 |                  5 |                  15 |                     10
  936441032 |                  6 |                  15 |                      9
  936441033 |                  5 |                  19 |                     14
  936514296 |                  5 |                  13 |                      8
  936514297 |                  4 |                  13 |                      9
  936542663 |                  0 |                  10 |                     10
  936545097 |                  5 |                  14 |                      9
  936763907 |                  0 |                   8 |                      8
  936763914 |                  3 |                  10 |                      7
  936763917 |                  2 |                  10 |                      8
  936763921 |                  0 |                   8 |                      8
  936795727 |                  1 |                   9 |                      8
  936795735 |                  0 |                   8 |                      8
  936881204 |                  8 |                  25 |                     17
  936881205 |                  6 |                  20 |                     14
  936881206 |                  1 |                  10 |                      9
  936881207 |                  0 |                   6 |                      6
  936881210 |                  0 |                  10 |                     10
  936881211 |                  0 |                  10 |                     10
  937283948 |                  6 |                  14 |                      8
  937283951 |                  2 |                   9 |                      7
  937290857 |                  2 |                   8 |                      6
  937387643 |                  2 |                   9 |                      7
  937398648 |                  1 |                   7 |                      6
  937398661 |                  0 |                   7 |                      7
  937969593 |                  0 |                  17 |                     17
  938101634 |                  1 |                   8 |                      7
  938101635 |                  0 |                   8 |                      8
  938163442 |                  1 |                   7 |                      6
  938635847 |                  0 |                   7 |                      7
  938635852 |                  0 |                   6 |                      6
  938635853 |                  0 |                   8 |                      8
  938635862 |                  1 |                   7 |                      6
  938635864 |                  0 |                   6 |                      6
  938635865 |                  0 |                   7 |                      7
  941807531 |                  1 |                   7 |                      6
  941809920 |                  0 |                   7 |                      7
  943555597 |                  2 |                   9 |                      7
  943555598 |                  0 |                   9 |                      9
  943655304 |                  0 |                  10 |                     10
  944022233 |                  0 |                   7 |                      7
  944024159 |                  0 |                   7 |                      7
  944024160 |                  0 |                   6 |                      6
  944024161 |                  0 |                   6 |                      6
  944713254 |                  4 |                  10 |                      6
  945188858 |                  3 |                  22 |                     19
  945188859 |                  2 |                  12 |                     10
  945188860 |                  0 |                   9 |                      9
  945188864 |                  2 |                   8 |                      6
  945188873 |                  0 |                   8 |                      8
  946485765 |                  3 |                   9 |                      6
  946485771 |                  1 |                   7 |                      6
  946485773 |                  3 |                  14 |                     11
  946485777 |                  2 |                  16 |                     14
  946485781 |                  3 |                  14 |                     11
  946485782 |                  2 |                  14 |                     12
  946485785 |                  1 |                   7 |                      6
  946485789 |                  3 |                  11 |                      8
  946485790 |                  3 |                  11 |                      8
  946485793 |                  1 |                   7 |                      6
  946485802 |                  2 |                   9 |                      7
  946485805 |                  2 |                  34 |                     32
  946485810 |                  3 |                  63 |                     60
  946485812 |                  1 |                  27 |                     26
  946485814 |                  1 |                   7 |                      6
  946485815 |                  1 |                   7 |                      6
  946485816 |                  0 |                   7 |                      7
  946485819 |                  2 |                  12 |                     10
  946485822 |                  0 |                   7 |                      7
  948219724 |                  0 |                   6 |                      6
  951558650 |                  4 |                  10 |                      6
  952449516 |                 11 |                  17 |                      6
  952449517 |                 15 |                  24 |                      9
  952449522 |                  7 |                  13 |                      6
  952449525 |                  0 |                  13 |                     13
  953888664 |                  1 |                   7 |                      6
  954750124 |                  0 |                   6 |                      6
  955765961 |                  1 |                  15 |                     14
  955765963 |                  0 |                   7 |                      7
  955765964 |                  0 |                  11 |                     11
  956154836 |                  1 |                   8 |                      7
  956164957 |                  0 |                   6 |                      6
  956395624 |                  0 |                   6 |                      6
  956395626 |                  0 |                   7 |                      7
  957182094 |                  0 |                   6 |                      6
  957182095 |                  0 |                   7 |                      7
  957182111 |                  0 |                   6 |                      6
  961715654 |                  0 |                   6 |                      6
  965758520 |                  6 |                  14 |                      8
  965758522 |                  6 |                  14 |                      8
  965758526 |                  4 |                  13 |                      9
  965826219 |                  0 |                   6 |                      6
  965955902 |                  3 |                  14 |                     11
  965959597 |                  5 |                  19 |                     14
  966316112 |                  0 |                   8 |                      8
  967392652 |                  5 |                  14 |                      9
  967392654 |                  3 |                  10 |                      7
  967392656 |                  1 |                   9 |                      8
  967392657 |                  0 |                   9 |                      9
  967392689 |                  2 |                  10 |                      8
  967392690 |                  1 |                   8 |                      7
  967392695 |                  5 |                  11 |                      6
  967472438 |                  1 |                   8 |                      7
  967472439 |                  0 |                   6 |                      6
  967606898 |                  2 |                  14 |                     12
  968913229 |                  1 |                   7 |                      6
  968913232 |                  0 |                   7 |                      7
  968913235 |                  0 |                   6 |                      6
  969633679 |                 14 |                  22 |                      8
  969633682 |                  1 |                   7 |                      6
  969633685 |                  1 |                   7 |                      6
  969633686 |                  0 |                   6 |                      6
  969633694 |                  3 |                  11 |                      8
  969633738 |                  0 |                   8 |                      8
  969633739 |                  0 |                   7 |                      7
  969633741 |                  0 |                   6 |                      6
  969633757 |                  6 |                  17 |                     11
  969633768 |                  0 |                   7 |                      7
  970395411 |                  0 |                  14 |                     14
  970398115 |                  2 |                  15 |                     13
  970398116 |                  2 |                  10 |                      8
  972261029 |                  2 |                  19 |                     17
  972261032 |                  1 |                   8 |                      7
  972263824 |                  0 |                  11 |                     11
  972263825 |                  4 |                  15 |                     11
  972263826 |                  0 |                  11 |                     11
  972263835 |                  0 |                   6 |                      6
  972263836 |                  2 |                  19 |                     17
  972387367 |                  9 |                  25 |                     16
  972387387 |                  3 |                   9 |                      6
  972387390 |                  1 |                   7 |                      6
  975632041 |                  1 |                  11 |                     10
  976203890 |                  0 |                   8 |                      8
  976239185 |                  0 |                   8 |                      8
