   osm_id   |    min_longitude    
 1039153240 | -10384054.356976612
  764119195 | -10384047.677807165
  733420008 | -10384039.918838656
  900530928 | -10384039.095074425
    6041520 | -10384020.449059717
  846959320 |  -10384019.32473286
 1100934522 | -10383987.019816631
  902051673 | -10383962.985938568
 1104803175 | -10383959.178811984
 1006375945 |  -10383947.00045969
 1113250174 |  -10383944.82972962
   69963828 | -10383928.588215914
  204758012 |  -10383909.53031909
 1006682760 |  -10383899.61175246
  816468544 | -10383877.537097435
   94055837 | -10383868.620406223
  204924299 | -10383863.633293036
 1078096225 | -10383859.492207978
  902350215 | -10383857.009783333
 1059886758 | -10383849.417794062
 1088341444 | -10383846.111605186
 1120215268 | -10383837.194913972
  636383837 | -10383833.398919336
  900530904 | -10383819.740017816
 1113250175 | -10383817.302120969
  902350228 | -10383805.557914687
  728255828 | -10383798.622710412
  728251923 | -10383798.032717112
  902350231 | -10383779.075007828
  900530903 | -10383763.056133103
  900530943 | -10383752.391725887
 1098060469 |  -10383747.51593219
   69963814 | -10383747.471404392
  639530855 |  -10383736.26153167
   94055833 | -10383733.211377623
  700956778 |  -10383714.62102266
  991122489 | -10383714.531967066
  902350205 | -10383703.333226293
  900175970 | -10383698.624411833
  900175968 | -10383696.954619471
  704562141 | -10383694.282951692
  900176054 |  -10383681.62592559
  900176057 | -10383680.590654325
 1120215267 | -10383669.325121857
   35606236 | -10383669.046823129
  638873436 | -10383668.590413217
  636434106 | -10383663.458584692
  637589306 | -10383660.352770898
  636535951 | -10383654.731136613
  495295181 |  -10383654.64208102
  444072007 | -10383651.781170107
 1059748468 | -10383651.102121213
  900530897 | -10383646.871980565
  902350204 | -10383642.664103812
  204880398 | -10383640.537901536
  636434149 | -10383639.602817815
   39723834 | -10383639.090748157
  920224957 | -10383635.094378438
  902051631 | -10383627.669368401
  728255880 | -10383625.253735451
  900176085 | -10383597.802349024
  768262378 | -10383586.147198336
  993270772 | -10383585.568336982
  768262377 | -10383584.967211733
   94055836 | -10383578.399361776
  642650359 | -10383568.191364469
  902051636 |  -10383559.49731224
 1006391040 | -10383554.109448886
  500780068 |   -10383545.4710564
  902051666 | -10383542.877312263
  194058336 | -10383522.205282826
  792726417 |  -10383519.96776106
 1120215271 | -10383519.143996827
  204861331 | -10383512.320112042
  710758017 | -10383509.826555448
    6029532 | -10383507.399790548
  801701266 | -10383506.475838775
 1006085220 |  -10383506.43131098
  264242350 | -10383503.113990152
  792726416 | -10383501.611177027
  278430055 | -10383501.010051776
  852265971 | -10383500.709489152
 1008655661 | -10383497.147265447
 1057584278 | -10383486.616441617
  825074398 | -10383486.560781872
  139633361 | -10383456.437727664
 1008655660 | -10383450.137044486
   94055834 | -10383445.227854941
  636535817 | -10383436.389087372
  174007888 | -10383427.249757178
 1089185811 | -10383422.830373393
  900176015 |  -10383417.53156563
 1089185813 | -10383391.839027157
  902051650 | -10383391.215638008
  179909233 | -10383387.876053283
 1100726130 |  -10383379.20426495
  734460370 | -10383373.026033211
  163350607 | -10383371.868310507
 1007897193 | -10383367.671565704
  264242306 |  -10383367.34873918
  700231763 | -10383363.051806837
  204881203 | -10383362.940487348
  636434143 | -10383360.535986343
   41413493 | -10383356.305845695
  718134032 | -10383356.038678918
  264242315 | -10383350.172141751
  696417399 | -10383347.233307196
  900176061 |  -10383324.07885311
 1089185804 | -10383320.204934832
 1026680931 | -10383320.026823645
  900176016 | -10383318.557406368
 1061628064 |  -10383314.31613377
 1111739808 |  -10383307.28074195
 1040536345 | -10383300.245350132
   22649572 | -10383297.673869895
 1050251188 |  -10383291.29526307
 1001471038 |  -10383273.91829056
  734281195 | -10383268.630614746
